"Name","H","AB","BA","Rating"
"Carlos Santana",127,550,0.230909090909091,0.544955674175826
"Danny Santana",56,261,0.21455938697318,0.372025276454706
"Domingo Santana",38,160,0.2375,0.404756187173216
"Hector Santiago",1,5,0.2,0.278284499631239
"Luis Sardinas",19,97,0.195876288659794,0.254589368514113
"Michael Saunders",6,31,0.193548387096774,0.219849828423052
"Jordan Schafer",15,69,0.217391304347826,0.259020771149857
"Logan Schafer",27,122,0.221311475409836,0.426819242766819
"Max Scherzer",15,69,0.217391304347826,0.265476893822604
"Scott Schebler",9,36,0.25,0.29731998036351
"Jonathan Schoop",85,305,0.278688524590164,0.494356956639148
"Skip Schumaker",59,244,0.241803278688525,0.454441173469896
"Kyle Schwarber",57,232,0.245689655172414,0.562129297870264
"Xavier Scruggs",11,42,0.261904761904762,0.348948915690139
"Corey Seager",33,98,0.336734693877551,0.472344778803762
"Kyle Seager",166,623,0.26645264847512,0.687093766046797
"Jean Segura",144,560,0.257142857142857,0.7326784495624
"Marcus Semien",143,556,0.257194244604317,0.611974413355511
"Luis Severino",0,2,0,0.241931512895618
"Pedro Severino",1,4,0.25,0.325341285562681
"Richie Shaffer",14,74,0.189189189189189,0.24451036428069
"Travis Shaw",61,226,0.269911504424779,0.48302507219806
"James Shields",9,68,0.132352941176471,0.163235693115904
"Matt Shoemaker",0,1,0,0.32257535052749
"J.B. Shuck",38,143,0.265734265734266,0.37732295470741
"Andrelton Simmons",142,535,0.265420560747664,0.671851324842522
"Alfredo Simon",0,5,0,0.138246578797496
"Jon Singleton",9,47,0.191489361702128,0.229127267972955
"Grady Sizemore",69,273,0.252747252747253,0.436975457304621
"Josh Smith",2,9,0.222222222222222,0.267684730659531
"Seth Smith",98,395,0.248101265822785,0.501477532039731
"Justin Smoak",67,296,0.226351351351351,0.473178945143198
"Jake Smolinski",32,166,0.192771084337349,0.281164245461858
"Travis Snider",55,237,0.232067510548523,0.450439460656318
"Miguel Socolovich",0,1,0,0.32257535052749
"Eric Sogard",92,372,0.247311827956989,0.651039021625032
"Donovan Solano",17,90,0.188888888888889,0.249085219658494
"Jhonatan Solano",1,20,0.05,0.0922760599954844
"Yangervis Solarte",142,526,0.269961977186312,0.762362487247425
"Jorge Soler",96,366,0.262295081967213,0.52978880312944
"Sammy Solis",1,2,0.5,0.485348817273647
"Geovany Soto",41,187,0.219251336898396,0.321344876924197
"Steven Souza",84,373,0.225201072386059,0.485271216231699
"Cory Spangenberg",82,303,0.270627062706271,0.543096541073439
"Denard Span",74,246,0.300813008130081,0.530082589608791
"George Springer",107,388,0.275773195876289,0.533948724341266
"Cody Stanley",4,10,0.4,0.417679503206186
"Giancarlo Stanton",74,279,0.265232974910394,0.499362212658855
"Max Stassi",6,15,0.4,0.415475755495873
"Chris Stewart",46,159,0.289308176100629,0.434343163700146
"Ryan Strausborger",9,45,0.2,0.231348575722982
"Stephen Strasburg",5,38,0.131578947368421,0.168995400322537
"Hunter Strickland",0,1,0,0.32257535052749
"Drew Stubbs",24,123,0.195121951219512,0.291891098976311
"Eric Stults",1,13,0.0769230769230769,0.131047611557523
"Eugenio Suarez",104,372,0.279569892473118,0.669692907984912
"Jesus Sucre",20,127,0.15748031496063,0.203351328787274
"Andrew Susac",29,133,0.218045112781955,0.296449522227436
"Ichiro Suzuki",91,398,0.228643216080402,0.544221520403382
"Kurt Suzuki",104,433,0.240184757505774,0.499064056329535
"Darnell Sweeney",15,85,0.176470588235294,0.293035540698252
"Blake Swihart",79,288,0.274305555555556,0.53345451288095
"Nick Swisher",43,219,0.19634703196347,0.308182821727303
"Noah Syndergaard",9,43,0.209302325581395,0.2336518101344
"Matt Szczur",16,72,0.222222222222222,0.279942620460813
"Jose Tabata",11,38,0.289473684210526,0.344133555965001
"Masahiro Tanaka",0,7,0,0.107525116842497
"Travis Tartamella",1,2,0.5,0.490685483527964
"Chris Taylor",16,94,0.170212765957447,0.210612729518373
"Michael Taylor",108,472,0.228813559322034,0.589327826678214
"Taylor Teagarden",3,15,0.2,0.239472585586264
"Julio Teheran",5,52,0.0961538461538462,0.122928446519795
"Mark Teixeira",100,392,0.255102040816327,0.501896420105249
"Ruben Tejada",94,360,0.261111111111111,0.578831747624904
"Tomas Telis",6,38,0.157894736842105,0.185432091129585
"Joey Terdoslavich",12,56,0.214285714285714,0.245869675016875
"Josh Thole",10,49,0.204081632653061,0.236365070195967
"Ian Thomas",0,3,0,0.193545210316494
"Trayce Thompson",36,122,0.295081967213115,0.373924080873101
"Tyler Thornburg",0,3,0,0.193545210316494
"Chris Tillman",0,2,0,0.241931512895618
"Steven Tolleson",11,41,0.268292682926829,0.291218514184621
"Yasmany Tomas",111,406,0.273399014778325,0.575277667536866
"Kelby Tomlinson",54,178,0.303370786516854,0.471196400425064
